player,season,POSS,adj_usg_rank,freq_gte82,freq_lte78,freq_lte81,freq_lte75,poss_lte78,poss_lte81,poss_lte75,poss_gte82,poss,versatility_score_rank,height,weight
Aaron Gordon,2020-21,1885.6,0.9469387755102041,0.16175222740772172,0.30605642766228264,0.4147751378871447,0.11741620704285109,577.1000000000001,782.1,221.4,305.00000000000006,1885.6,0.7163265306122449,78.81194314806959,220.9987271955876
Aaron Holiday,2020-21,1599.3,0.5918367346938775,0.06840492715563061,0.42155943225161024,0.175201650722191,0.33483398987056834,674.2000000000002,280.2,535.4999999999999,109.4,1599.2999999999997,0.34285714285714286,76.84005502407305,207.01988369911842
Aaron Nesmith,2020-21,908.9,0.25918367346938775,0.08174716690505006,0.44999449884475745,0.2889206733414017,0.17933766090879086,409.00000000000006,262.6,163.0,74.3,908.9,0.4163265306122449,77.77401254263394,210.30487402354493
Abdel Nader,2020-21,475.6,0.373469387755102,0.1097560975609756,0.4070647603027754,0.3313708999158957,0.15180824222035325,193.6,157.6,72.2,52.199999999999996,475.6,0.636734693877551,77.95563498738434,210.97939444911688
Adam Mokoka,2020-21,78.5,,0.06496815286624204,0.5439490445859873,0.19617834394904457,0.19490445859872613,42.699999999999996,15.399999999999999,15.3,5.1,78.5,,77.20636942675159,214.81273885350316
Al Horford,2020-21,1059.4,0.9,0.5808948461393242,0.11412120067963001,0.23466112894090999,0.07032282424013593,120.89999999999999,248.59999999999997,74.49999999999999,615.3999999999999,1059.3999999999996,0.022448979591836733,81.07853501982257,240.02643005474806
Al-Farouq Aminu,2020-21,577.8,0.45510204081632655,0.17635860159224645,0.28435444790584974,0.4489442713741779,0.09034267912772585,164.3,259.40000000000003,52.2,101.9,577.8000000000001,0.4775510204081633,79.04084458290065,223.73451021114573
Alec Burks,2020-21,1609.5,0.6510204081632653,0.07337682510096302,0.3765765765765766,0.3193538365952159,0.23069276172724446,606.1,514.0,371.29999999999995,118.1,1609.5,0.6469387755102041,77.42988505747128,209.89773221497356
Aleksej Pokusevski,2020-21,1537.8,0.11836734693877551,0.08928339185849915,0.3861360384965536,0.41520353752113404,0.10937703212381322,593.8000000000002,638.5,168.2,137.3,1537.8000000000002,0.19387755102040816,78.47535440239301,216.68597997138767
Alen Smailagic,2020-21,114.7,0.014285714285714285,0.48561464690496947,0.15257192676547518,0.3112467306015693,0.050566695727986055,17.500000000000004,35.7,5.800000000000001,55.7,114.7,0.10408163265306122,81.28683522231908,229.0122057541412
Alex Caruso,2020-21,1629.5,0.8469387755102041,0.0779380177968702,0.3234734581159865,0.2166922368824793,0.38189628720466395,527.1,353.1,622.3,126.99999999999999,1629.5,0.6489795918367347,76.70819269714636,207.04989260509353
Alex Len,2020-21,1401.5,0.6306122448979592,0.5582590082054941,0.10538708526578669,0.26357474134855513,0.07277916518016413,147.70000000000005,369.4,102.00000000000001,782.4,1401.5,0.02857142857142857,81.1015340706386,238.71480556546553
Alfonzo McKinnie,2020-21,364.7,0.07346938775510205,0.06224293940224843,0.5289278859336441,0.2807787222374555,0.12805045242665206,192.90000000000003,102.4,46.7,22.700000000000003,364.7,0.05714285714285714,77.76418974499589,213.7414313134083
Alize Johnson,2020-21,245.5,0.2653061224489796,0.12423625254582485,0.3360488798370671,0.3775967413441955,0.16211812627291244,82.49999999999997,92.7,39.800000000000004,30.5,245.5,0.7959183673469388,78.24236252545825,216.8745417515275
Amida Brimah,2020-21,42.6,,0.6924882629107981,0.0868544600938967,0.20422535211267603,0.016431924882629106,3.6999999999999997,8.7,0.7,29.5,42.6,,81.27934272300469,228.2910798122066
Amir Coffey,2020-21,532.5,0.2755102040816326,0.07474178403755868,0.46647887323943665,0.27755868544600937,0.1812206572769953,248.4,147.79999999999998,96.5,39.8,532.5,0.32448979591836735,77.62535211267605,210.93352112676058
Anderson Varejao,2020-21,49.3,,0.6450304259634889,0.1257606490872211,0.0953346855983773,0.13387423935091278,6.199999999999999,4.7,6.6,31.8,49.3,,81.04259634888437,233.75050709939148
