INFO : 2021-08-26 20:51:38,146 : Dir raw_data/2017-18 already exists
DEBUG : 2021-08-26 20:51:38,680 : POST http://127.0.0.1:58283/session {"capabilities": {"firstMatch": [{}], "alwaysMatch": {"browserName": "chrome", "platformName": "any", "goog:chromeOptions": {"extensions": [], "args": []}}}, "desiredCapabilities": {"browserName": "chrome", "version": "", "platform": "ANY", "goog:chromeOptions": {"extensions": [], "args": []}}}
DEBUG : 2021-08-26 20:51:38,680 : Starting new HTTP connection (1): 127.0.0.1:58283
DEBUG : 2021-08-26 20:51:39,618 : http://127.0.0.1:58283 "POST /session HTTP/1.1" 200 755
DEBUG : 2021-08-26 20:51:39,619 : Finished Request
DEBUG : 2021-08-26 20:51:39,619 : POST http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/url {"url": "https://www.nba.com/stats/players/bio/?Season=2017-18&SeasonType=Regular%20Season"}
DEBUG : 2021-08-26 20:51:49,532 : http://127.0.0.1:58283 "POST /session/fff98da934d9313a3667a68e88476c48/url HTTP/1.1" 200 14
DEBUG : 2021-08-26 20:51:49,532 : Finished Request
DEBUG : 2021-08-26 20:51:49,533 : POST http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/elements {"using": "xpath", "value": "//select"}
DEBUG : 2021-08-26 20:51:49,569 : http://127.0.0.1:58283 "POST /session/fff98da934d9313a3667a68e88476c48/elements HTTP/1.1" 200 2144
DEBUG : 2021-08-26 20:51:49,570 : Finished Request
DEBUG : 2021-08-26 20:51:49,570 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/9e835425-6dba-4e68-8f5c-e2251924fe9e/name {"id": "9e835425-6dba-4e68-8f5c-e2251924fe9e"}
DEBUG : 2021-08-26 20:51:49,576 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/9e835425-6dba-4e68-8f5c-e2251924fe9e/name HTTP/1.1" 200 18
DEBUG : 2021-08-26 20:51:49,576 : Finished Request
