INFO : 2021-08-27 10:05:46,486 : Dir raw_data/2017-18 already exists
INFO : 2021-08-27 10:06:15,385 : Bio = (540, 6)
INFO : 2021-08-27 10:06:25,850 : SUCCESS : Aaron Brooks = (157, 20) = 201166.csv
INFO : 2021-08-27 10:06:37,302 : SUCCESS : Aaron Gordon = (328, 20) = 203932.csv
INFO : 2021-08-27 10:06:48,105 : SUCCESS : Aaron Harrison = (81, 20) = 1626151.csv
INFO : 2021-08-27 10:07:02,410 : SUCCESS : Aaron Jackson = (9, 20) = 1628935.csv
INFO : 2021-08-27 10:07:17,292 : SUCCESS : Abdel Nader = (247, 20) = 1627846.csv
INFO : 2021-08-27 10:07:28,197 : SUCCESS : Adreian Payne = (35, 20) = 203940.csv
INFO : 2021-08-27 10:07:42,493 : SUCCESS : Al Horford = (333, 20) = 201143.csv
INFO : 2021-08-27 10:07:53,566 : SUCCESS : Al Jefferson = (214, 20) = 2744.csv
INFO : 2021-08-27 10:08:08,155 : SUCCESS : Al-Farouq Aminu = (317, 20) = 202329.csv
INFO : 2021-08-27 10:08:17,259 : SUCCESS : Alan Williams = (45, 20) = 1626210.csv
INFO : 2021-08-27 10:08:31,543 : SUCCESS : Alec Burks = (331, 20) = 202692.csv
INFO : 2021-08-27 10:08:41,719 : SUCCESS : Alec Peters = (128, 20) = 1628409.csv
INFO : 2021-08-27 10:09:05,425 : SUCCESS : Alex Abrines = (337, 20) = 203518.csv
INFO : 2021-08-27 10:09:15,718 : SUCCESS : Alex Caruso = (237, 20) = 1627936.csv
INFO : 2021-08-27 10:09:26,888 : SUCCESS : Alex Len = (359, 20) = 203458.csv
INFO : 2021-08-27 10:09:37,019 : SUCCESS : Alex Poythress = (112, 20) = 1627816.csv
INFO : 2021-08-27 10:09:48,296 : SUCCESS : Alfonzo McKinnie = (62, 20) = 1628035.csv
INFO : 2021-08-27 10:10:03,206 : SUCCESS : Allen Crabbe = (332, 20) = 203459.csv
INFO : 2021-08-27 10:10:15,025 : SUCCESS : Amir Johnson = (349, 20) = 101161.csv
INFO : 2021-08-27 10:10:27,247 : SUCCESS : Andre Drummond = (381, 20) = 203083.csv
INFO : 2021-08-27 10:10:48,690 : SUCCESS : Andre Iguodala = (346, 20) = 2738.csv
INFO : 2021-08-27 10:10:59,054 : SUCCESS : Andre Ingram = (23, 20) = 201281.csv
INFO : 2021-08-27 10:11:13,330 : SUCCESS : Andre Roberson = (266, 20) = 203460.csv
INFO : 2021-08-27 10:11:24,538 : SUCCESS : Andrew Bogut = (125, 20) = 101106.csv
INFO : 2021-08-27 10:11:36,856 : SUCCESS : Andrew Harrison = (305, 20) = 1626150.csv
INFO : 2021-08-27 10:11:47,056 : SUCCESS : Andrew White III = (130, 20) = 1628510.csv
INFO : 2021-08-27 10:12:01,425 : SUCCESS : Andrew Wiggins = (380, 20) = 203952.csv
INFO : 2021-08-27 10:12:12,987 : SUCCESS : Ante Zizic = (175, 20) = 1627790.csv
INFO : 2021-08-27 10:12:23,245 : SUCCESS : Anthony Brown = (4, 20) = 1626148.csv
INFO : 2021-08-27 10:12:38,362 : SUCCESS : Anthony Davis = (374, 20) = 203076.csv
INFO : 2021-08-27 10:12:50,983 : SUCCESS : Anthony Tolliver = (387, 20) = 201229.csv
INFO : 2021-08-27 10:13:02,037 : SUCCESS : Antonio Blakeney = (158, 20) = 1628469.csv
INFO : 2021-08-27 10:13:15,892 : SUCCESS : Antonius Cleveland = (102, 20) = 1628499.csv
INFO : 2021-08-27 10:13:41,411 : SUCCESS : Aron Baynes = (349, 20) = 203382.csv
INFO : 2021-08-27 10:13:52,845 : SUCCESS : Arron Afflalo = (291, 20) = 201167.csv
INFO : 2021-08-27 10:14:05,501 : SUCCESS : Austin Rivers = (341, 20) = 203085.csv
INFO : 2021-08-27 10:14:16,879 : SUCCESS : Avery Bradley = (276, 20) = 202340.csv
INFO : 2021-08-27 10:14:28,947 : SUCCESS : Bam Adebayo = (335, 20) = 1628389.csv
INFO : 2021-08-27 10:14:40,596 : SUCCESS : Ben McLemore = (322, 20) = 203463.csv
INFO : 2021-08-27 10:14:51,115 : SUCCESS : Ben Moore = (9, 20) = 1628500.csv
INFO : 2021-08-27 10:15:04,630 : SUCCESS : Ben Simmons = (363, 20) = 1627732.csv
INFO : 2021-08-27 10:15:28,733 : SUCCESS : Bismack Biyombo = (370, 20) = 202687.csv
INFO : 2021-08-27 10:15:41,065 : SUCCESS : Blake Griffin = (331, 20) = 201933.csv
INFO : 2021-08-27 10:15:52,506 : SUCCESS : Boban Marjanovic = (225, 20) = 1626246.csv
INFO : 2021-08-27 10:16:02,816 : SUCCESS : Bobby Brown = (93, 20) = 201628.csv
INFO : 2021-08-27 10:16:14,582 : SUCCESS : Bobby Portis = (365, 20) = 1626171.csv
INFO : 2021-08-27 10:16:27,628 : SUCCESS : Bogdan Bogdanovic = (366, 20) = 203992.csv
INFO : 2021-08-27 10:16:39,071 : SUCCESS : Bojan Bogdanovic = (361, 20) = 202711.csv
INFO : 2021-08-27 10:16:50,439 : SUCCESS : Bradley Beal = (378, 20) = 203078.csv
INFO : 2021-08-27 10:17:02,832 : SUCCESS : Brandan Wright = (171, 20) = 201148.csv
INFO : 2021-08-27 10:17:30,953 : SUCCESS : Brandon Ingram = (331, 20) = 1627742.csv
INFO : 2021-08-27 10:17:42,744 : SUCCESS : Brandon Jennings = (107, 20) = 201943.csv
INFO : 2021-08-27 10:17:54,682 : SUCCESS : Brandon Paul = (300, 20) = 203464.csv
INFO : 2021-08-27 10:18:04,874 : SUCCESS : Briante Weber = (134, 20) = 1627362.csv
INFO : 2021-08-27 10:18:14,437 : SUCCESS : Brice Johnson = (94, 20) = 1627744.csv
INFO : 2021-08-27 10:18:27,476 : SUCCESS : Brook Lopez = (341, 20) = 201572.csv
INFO : 2021-08-27 10:18:39,052 : SUCCESS : Bruno Caboclo = (90, 20) = 203998.csv
INFO : 2021-08-27 10:18:52,279 : SUCCESS : Bryn Forbes = (376, 20) = 1627854.csv
INFO : 2021-08-27 10:19:03,443 : SUCCESS : Buddy Hield = (385, 20) = 1627741.csv
INFO : 2021-08-27 10:19:14,181 : SUCCESS : C.J. Williams = (248, 20) = 203710.csv
INFO : 2021-08-27 10:19:38,770 : SUCCESS : CJ McCollum = (358, 20) = 203468.csv
INFO : 2021-08-27 10:19:48,946 : SUCCESS : CJ Miles = (348, 20) = 101139.csv
INFO : 2021-08-27 10:19:58,603 : SUCCESS : Caleb Swanigan = (152, 20) = 1628403.csv
INFO : 2021-08-27 10:20:20,995 : SUCCESS : Cameron Payne = (190, 20) = 1626166.csv
