INFO : 2021-08-27 10:51:20,655 : Generated dir raw_data/2019-20
INFO : 2021-08-27 10:52:53,771 : Bio = (529, 6)
INFO : 2021-08-27 10:53:25,980 : SUCCESS : Aaron Gordon = (349, 20) = 203932.csv
INFO : 2021-08-27 10:53:58,501 : SUCCESS : Aaron Holiday = (348, 20) = 1628988.csv
INFO : 2021-08-27 10:54:39,695 : SUCCESS : Abdel Nader = (316, 20) = 1627846.csv
INFO : 2021-08-27 10:55:08,902 : SUCCESS : Adam Mokoka = (84, 20) = 1629690.csv
INFO : 2021-08-27 10:55:40,212 : SUCCESS : Admiral Schofield = (207, 20) = 1629678.csv
INFO : 2021-08-27 10:56:30,552 : SUCCESS : Al Horford = (329, 20) = 201143.csv
INFO : 2021-08-27 10:57:06,387 : SUCCESS : Al-Farouq Aminu = (139, 20) = 202329.csv
INFO : 2021-08-27 10:57:45,569 : SUCCESS : Alec Burks = (359, 20) = 202692.csv
INFO : 2021-08-27 10:58:10,840 : SUCCESS : Alen Smailagic = (118, 20) = 1629346.csv
INFO : 2021-08-27 10:58:52,262 : SUCCESS : Alex Caruso = (356, 20) = 1627936.csv
INFO : 2021-08-27 10:59:30,561 : SUCCESS : Alex Len = (317, 20) = 203458.csv
INFO : 2021-08-27 11:00:06,177 : SUCCESS : Alfonzo McKinnie = (254, 20) = 1628035.csv
INFO : 2021-08-27 11:00:34,736 : SUCCESS : Alize Johnson = (83, 20) = 1628993.csv
INFO : 2021-08-27 11:01:11,198 : SUCCESS : Allen Crabbe = (223, 20) = 203459.csv
INFO : 2021-08-27 11:01:47,363 : SUCCESS : Allonzo Trier = (176, 20) = 1629019.csv
INFO : 2021-08-27 11:02:20,166 : SUCCESS : Amile Jefferson = (74, 20) = 1628518.csv
INFO : 2021-08-27 11:02:56,325 : SUCCESS : Amir Coffey = (102, 20) = 1629599.csv
INFO : 2021-08-27 11:03:33,060 : SUCCESS : Andre Drummond = (294, 20) = 203083.csv
INFO : 2021-08-27 11:04:24,491 : SUCCESS : Andre Iguodala = (181, 20) = 2738.csv
INFO : 2021-08-27 11:05:01,863 : SUCCESS : Andre Roberson = (57, 20) = 203460.csv
INFO : 2021-08-27 11:05:43,424 : SUCCESS : Andrew Wiggins = (310, 20) = 203952.csv
INFO : 2021-08-27 11:06:21,392 : SUCCESS : Anfernee Simons = (347, 20) = 1629014.csv
INFO : 2021-08-27 11:07:01,719 : SUCCESS : Ante Zizic = (129, 20) = 1627790.csv
INFO : 2021-08-27 11:07:40,514 : SUCCESS : Anthony Davis = (333, 20) = 203076.csv
INFO : 2021-08-27 11:08:12,126 : SUCCESS : Anthony Tolliver = (308, 20) = 201229.csv
INFO : 2021-08-27 11:08:50,656 : SUCCESS : Antonius Cleveland = (50, 20) = 1628499.csv
INFO : 2021-08-27 11:09:32,257 : SUCCESS : Anzejs Pasecniks = (181, 20) = 1628394.csv
INFO : 2021-08-27 11:10:09,849 : SUCCESS : Aron Baynes = (263, 20) = 203382.csv
INFO : 2021-08-27 11:10:46,961 : SUCCESS : Austin Rivers = (371, 20) = 203085.csv
INFO : 2021-08-27 11:11:39,671 : SUCCESS : Avery Bradley = (278, 20) = 202340.csv
INFO : 2021-08-27 11:12:02,736 : SUCCESS : B.J. Johnson = (62, 20) = 1629168.csv
INFO : 2021-08-27 11:12:45,673 : SUCCESS : Bam Adebayo = (379, 20) = 1628389.csv
INFO : 2021-08-27 11:13:21,916 : SUCCESS : Ben McLemore = (362, 20) = 203463.csv
INFO : 2021-08-27 11:13:58,699 : SUCCESS : Ben Simmons = (310, 20) = 1627732.csv
INFO : 2021-08-27 11:14:44,811 : SUCCESS : Bismack Biyombo = (279, 20) = 202687.csv
INFO : 2021-08-27 11:15:19,496 : SUCCESS : Blake Griffin = (133, 20) = 201933.csv
INFO : 2021-08-27 11:16:00,062 : SUCCESS : Boban Marjanovic = (228, 20) = 1626246.csv
INFO : 2021-08-27 11:16:39,725 : SUCCESS : Bobby Portis = (343, 20) = 1626171.csv
INFO : 2021-08-27 11:17:29,837 : SUCCESS : Bogdan Bogdanovic = (338, 20) = 203992.csv
INFO : 2021-08-27 11:18:15,682 : SUCCESS : Bojan Bogdanovic = (324, 20) = 202711.csv
INFO : 2021-08-27 11:18:56,195 : SUCCESS : Bol Bol = (52, 20) = 1629626.csv
ERROR : 2021-08-27 11:19:15,158 : Brad Wanamaker = No tables found
ERROR : 2021-08-27 11:19:15,159 : Trying again...
INFO : 2021-08-27 11:19:59,630 : SUCCESS : Brad Wanamaker = (369, 20) = 202954.csv
INFO : 2021-08-27 11:20:33,755 : SUCCESS : Bradley Beal = (321, 20) = 203078.csv
INFO : 2021-08-27 11:21:06,988 : SUCCESS : Brandon Clarke = (337, 20) = 1629634.csv
INFO : 2021-08-27 11:21:43,246 : SUCCESS : Brandon Goodwin = (229, 20) = 1629164.csv
INFO : 2021-08-27 11:22:19,468 : SUCCESS : Brandon Ingram = (331, 20) = 1627742.csv
INFO : 2021-08-27 11:22:50,765 : SUCCESS : Brandon Knight = (179, 20) = 202688.csv
INFO : 2021-08-27 11:23:18,876 : SUCCESS : Brian Bowen II = (31, 20) = 1628968.csv
INFO : 2021-08-27 11:23:56,431 : SUCCESS : Brook Lopez = (345, 20) = 201572.csv
INFO : 2021-08-27 11:24:31,221 : SUCCESS : Bruce Brown = (312, 20) = 1628971.csv
INFO : 2021-08-27 11:25:09,465 : SUCCESS : Bruno Caboclo = (186, 20) = 203998.csv
INFO : 2021-08-27 11:25:42,277 : SUCCESS : Bruno Fernando = (310, 20) = 1628981.csv
INFO : 2021-08-27 11:26:13,314 : SUCCESS : Bryn Forbes = (313, 20) = 1627854.csv
INFO : 2021-08-27 11:26:59,113 : SUCCESS : Buddy Hield = (360, 20) = 1627741.csv
INFO : 2021-08-27 11:27:41,439 : SUCCESS : CJ McCollum = (358, 20) = 203468.csv
INFO : 2021-08-27 11:28:12,707 : SUCCESS : CJ Miles = (89, 20) = 101139.csv
INFO : 2021-08-27 11:28:50,898 : SUCCESS : Caleb Martin = (149, 20) = 1628997.csv
INFO : 2021-08-27 11:29:26,965 : SUCCESS : Caleb Swanigan = (181, 20) = 1628403.csv
INFO : 2021-08-27 11:30:10,163 : SUCCESS : Cam Reddish = (329, 20) = 1629629.csv
INFO : 2021-08-27 11:30:45,524 : SUCCESS : Cameron Johnson = (324, 20) = 1629661.csv
INFO : 2021-08-27 11:31:19,173 : SUCCESS : Cameron Payne = (76, 20) = 1626166.csv
INFO : 2021-08-27 11:31:59,477 : SUCCESS : Caris LeVert = (292, 20) = 1627747.csv
INFO : 2021-08-27 11:32:31,365 : SUCCESS : Carmelo Anthony = (330, 20) = 2546.csv
INFO : 2021-08-27 11:32:59,835 : SUCCESS : Carsen Edwards = (203, 20) = 1629035.csv
INFO : 2021-08-27 11:33:37,144 : SUCCESS : Cedi Osman = (318, 20) = 1626224.csv
INFO : 2021-08-27 11:34:28,667 : SUCCESS : Chandler Hutchison = (190, 20) = 1628990.csv
