OFF_PLAYER,GP,MATCHUP MIN,PARTIAL  POSS,PTS,TEAMPTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,DEF_PLAYER,SEASON
Jared Dudley,1,3:47,14.5,1,27,1,0,0,0,0,0.0,0,0,0.0,1,2,0,Jalen Jones,2017-18
Jamel Artis,1,3:44,12.9,2,17,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Jalen Jones,2017-18
Jae Crowder,1,3:13,12.1,5,21,0,0,0,2,3,66.7,1,1,100.0,0,0,0,Jalen Jones,2017-18
Alec Peters,1,2:29,9.7,13,24,0,1,0,4,7,57.1,2,4,50.0,3,3,2,Jalen Jones,2017-18
Gerald Green,1,2:25,9.6,3,12,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Jalen Jones,2017-18
D'Angelo Russell,1,3:23,9.5,5,12,0,1,0,2,4,50.0,1,3,33.3,0,0,0,Jalen Jones,2017-18
Joe Harris,1,2:39,9.5,5,13,0,1,0,2,2,100.0,1,1,100.0,0,0,0,Jalen Jones,2017-18
P.J. Tucker,2,2:45,9.3,0,13,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jalen Jones,2017-18
Caris LeVert,1,2:17,8.1,2,7,1,0,0,1,2,50.0,0,1,0.0,0,2,0,Jalen Jones,2017-18
Shaquille Harrison,1,2:04,8.0,2,22,3,0,0,1,2,50.0,0,1,0.0,0,1,1,Jalen Jones,2017-18
Aaron Gordon,1,2:10,7.4,8,16,0,0,1,3,4,75.0,2,2,100.0,0,0,0,Jalen Jones,2017-18
Stanley Johnson,1,2:05,6.6,0,19,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Jalen Jones,2017-18
Kentavious Caldwell-Pope,1,2:06,5.3,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jalen Jones,2017-18
Eric Gordon,2,1:09,4.7,3,6,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Jalen Jones,2017-18
Chris Paul,2,1:09,4.6,10,17,1,0,0,4,4,100.0,2,2,100.0,0,0,0,Jalen Jones,2017-18
Buddy Hield,1,1:07,4.5,3,8,0,0,0,1,3,33.3,1,3,33.3,0,0,0,Jalen Jones,2017-18
Anthony Tolliver,1,1:08,4.3,0,4,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Jalen Jones,2017-18
Danuel House Jr.,1,1:01,4.3,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,1,Jalen Jones,2017-18
Donovan Mitchell,1,1:19,4.3,4,4,0,0,0,1,2,50.0,0,0,0.0,2,3,1,Jalen Jones,2017-18
Wes Iwundu,1,1:18,4.0,0,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Jalen Jones,2017-18
Luc Mbah a Moute,2,1:05,3.8,0,2,0,0,0,0,0,0.0,0,0,0.0,0,2,1,Jalen Jones,2017-18
